ID,허브,트럭번호,방문순서,방문행정동수,경로거리_km
SMAX,상계,2,신내1동,1,14.43
SMAX,상계,3,신내1동,1,14.43
SMAX,상계,4,신내1동,1,14.43
SMAX,상계,5,신내2동,1,13.63
SMAX,상계,6,신내2동 -> 공릉2동,2,16.04
SMAX,상계,7,공릉2동,1,12.49
SMAX,상계,8,공릉2동,1,12.49
SMAX,상계,9,공릉2동,1,12.49
SMAX,상계,10,공릉2동,1,12.49
SMAX,상계,11,공릉2동,1,12.49
SMAX,상계,12,공릉2동,1,12.49
SMAX,상계,13,도봉1동,1,10.94
SMAX,상계,14,도봉1동,1,10.94
SMAX,상계,15,도봉2동,1,7.36
SMAX,상계,16,도봉2동,1,7.36
SMAX,상계,17,상계3·4동 -> 도봉2동,2,10.93
SMAX,상계,18,상계1동,1,7.33
SMAX,상계,19,상계1동,1,7.33
SMAX,상계,20,상계1동,1,7.33
SMAX,상계,21,상계1동,1,7.33
SMAX,상계,22,하계1동,1,5.69
SMAX,상계,23,하계1동,1,5.69
SMAX,상계,24,하계1동,1,5.69
SMAX,상계,25,중계본동,1,4.68
SMAX,상계,26,중계본동,1,4.68
SMAX,상계,27,중계본동 -> 신내1동,2,15.55
SMAX,상계,28,상계8동,1,4.6
SMAX,상계,29,상계8동,1,4.6
SMAX,상계,30,상계8동 -> 상계1동,2,8.46
SMAX,상계,31,상계3·4동,1,4.06
SMAX,상계,32,상계3·4동,1,4.06
SMAX,상계,33,상계9동,1,3.38
SMAX,상계,34,상계9동,1,3.38
SMAX,상계,35,중계1동,1,2.49
SMAX,상계,36,중계1동,1,2.49
SMAX,상계,37,중계1동,1,2.49
SMAX,상계,38,중계4동,1,1.77
SMAX,상계,39,중계4동,1,1.77
SMAX,상계,40,상계5동,1,1.43
SMAX,상계,41,상계5동,1,1.43
SMAX,상계,42,상계5동 -> 상계9동,2,3.38
SMAX,서울역,1,남영동 -> 청파동,2,3.54
SMAX,서울역,2,한강로동,1,5.95
SMAX,서울역,3,한강로동,1,5.95
SMAX,서울역,4,중림동,1,2.63
SMAX,서울역,5,염리동,1,6.4
SMAX,서울역,6,한강로동,1,5.95
SMAX,서울역,7,한강로동,1,5.95
SMAX,서울역,8,효창동,1,4.44
SMAX,서울역,9,효창동 -> 염리동,2,7.55
SMAX,서울역,10,공덕동,1,4.38
SMAX,서울역,11,원효로1동,1,4.17
SMAX,서울역,12,원효로1동 -> 한강로동,2,6.35
SMAX,서울역,13,공덕동,1,4.38
SMAX,서울역,14,한강로동,1,5.95
SMAX,서울역,15,원효로1동,1,4.17
SMAX,서울역,16,원효로1동,1,4.17
SMAX,서울역,17,남영동,1,2.7
SMAX,서울역,18,원효로1동,1,4.17
SMAX,서울역,19,공덕동,1,4.38
SMAX,서울역,20,용문동,1,5.11
SMAX,서울역,21,중림동,1,2.63
SMAX,서울역,22,청파동,1,2.32
SMAX,서울역,23,청파동,1,2.32
SMAX,서울역,24,청파동,1,2.32
SMAX,서울역,25,후암동,1,2.21
SMAX,서울역,26,후암동,1,2.21
SMAX,서울역,27,후암동,1,2.21
SMAX,서울역,28,공덕동,1,4.38
SMAX,서울역,29,공덕동,1,4.38
SMAX,서울역,30,공덕동,1,4.38
SMAX,서울역,31,한강로동,1,5.95
SMAX,서초,1,반포2동,1,4.39
SMAX,서초,2,반포2동,1,4.39
SMAX,서초,3,서초4동,1,3.55
SMAX,서초,4,서초4동,1,3.55
SMAX,서초,5,서초4동,1,3.55
SMAX,서초,6,서초4동,1,3.55
SMAX,서초,7,서초4동,1,3.55
SMAX,서초,8,서초1동 -> 서초4동,2,5.04
SMAX,서초,9,방배1동,1,3.33
SMAX,서초,10,방배1동,1,3.33
SMAX,서초,11,서초3동 -> 방배1동,2,4.04
SMAX,서초,12,서초1동,1,3.13
SMAX,서초,13,서초1동,1,3.13
SMAX,서초,14,서초1동,1,3.13
SMAX,서초,15,서초1동,1,3.13
SMAX,서초,16,반포4동,1,2.17
SMAX,서초,17,반포4동,1,2.17
SMAX,서초,18,반포4동,1,2.17
SMAX,서초,19,서초3동,1,1.61
SMAX,서초,20,서초3동,1,1.61
SMAX,서초,21,서초3동,1,1.61
SMAX,서초,22,서초3동,1,1.61
SMAX,서초,23,서초3동,1,1.61
SMAX,서초,24,서초3동,1,1.61
SMAX,서초,25,서초3동,1,1.61
SMAX,서초,26,반포2동,1,4.39
SMAX,수서,1,양재2동,1,15.97
SMAX,수서,2,대치4동 -> 개포3동,2,12.66
SMAX,수서,3,양재2동,1,15.97
SMAX,수서,4,양재2동,1,15.97
SMAX,수서,5,양재2동,1,15.97
SMAX,수서,6,양재2동,1,15.97
SMAX,수서,7,대치2동,1,8.13
SMAX,수서,8,내곡동,1,13.66
SMAX,수서,9,내곡동 -> 수서동,2,12.8
SMAX,수서,10,개포4동,1,10.78
SMAX,수서,11,개포4동,1,10.78
SMAX,수서,12,개포4동,1,10.78
SMAX,수서,13,개포4동,1,10.78
SMAX,수서,14,대치4동,1,10.6
SMAX,수서,15,대치4동,1,10.6
SMAX,수서,16,대치4동,1,10.6
SMAX,수서,17,대치4동,1,10.6
SMAX,수서,18,개포1동,1,9.73
SMAX,수서,19,잠실7동,1,9.04
SMAX,수서,20,대치1동,1,8.95
SMAX,수서,21,대치1동,1,8.95
SMAX,수서,22,대치1동,1,8.95
SMAX,수서,23,일원1동,1,4.34
SMAX,수서,24,잠실본동 -> 잠실7동 -> 대치1동,3,12.66
SMAX,수서,25,대치2동,1,8.13
SMAX,수서,26,대치2동,1,8.13
SMAX,수서,27,대치2동,1,8.13
